params_judgmental_base,params_judgmental_exchange,params_shift,pvalues_judgmental_base,pvalues_judgmental_exchange,pvalues_shift,model_name,prompt,axis
0.29842364068115806,-1.3650769923808863,0.030614053880563322,0.7810484491450013,3.704153262203385e-08,0.7534930719955923,mixtral,simple,social
0.8444998018757456,-1.3710414557260822,-0.0936746487620173,0.1363674232642471,8.620755268641216e-12,0.3042420836226195,mixtral,simple,economic
0.7012074978152684,-1.3136762437089247,-0.03967081950160663,0.12617621930876818,1.716276583169025e-17,0.5457397993708862,mixtral,simple,both
1.0431053963624166,-1.223269013838755,-0.1507155400535119,0.36531395022310176,3.348313664567429e-07,0.13053307686473684,mixtral,advanced,social
1.3751427652328798,-1.1191071728744317,-0.09414601485262174,0.01911907605674435,4.101971600724892e-09,0.2806492457791512,mixtral,advanced,economic
1.2697469437415256,-1.0905563938568799,-0.11977046605427923,0.008597083204779301,2.709237648398503e-13,0.06447366095149737,mixtral,advanced,both
0.2747648675854542,-1.0528898913114646,-0.130524734800664,0.8430271654146977,0.00021358510066758874,0.24343544367307235,llama,simple,social
0.6158901666811716,-1.0996097011097103,-0.28520490633068096,0.3938182172603486,3.2010568311101286e-06,0.01257800979760271,llama,simple,economic
0.5240083483199017,-0.9100589527200448,-0.219436585094461,0.3682260484776224,2.654286132839459e-07,0.005308164546031526,llama,simple,both
0.30409802745662895,-1.5041598676425003,0.035859062240786624,0.7993734216815951,1.0958291507413102e-08,0.7388143983315851,llama,advanced,social
0.7301995927930995,-1.537285046753602,0.24082893204985814,0.36740313363184973,3.1696025891807174e-09,0.042891821146733,llama,advanced,economic
0.7647473337428325,-1.4102961832182184,0.1174847578547304,0.22346464878498606,3.9505653372486794e-15,0.13416792459274196,llama,advanced,both
